Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
MELVILLE PARK,"1,280,000","1,345.5",951,Jun-25,SIMEI STREET 1,Resale,Strata,125,"10,240",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,06 to 10
THE QUARTZ,"1,788,000","1,194.8","1,496",Jun-25,COMPASSVALE BOW,Resale,Strata,111,"16,108",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,11 to 15
THE RAINTREE,"1,950,000","1,334.74","1,461",Jun-25,BUKIT DRIVE,Resale,Strata,124,"15,726",-,Condominium,1,99 yrs lease commencing from 2003,21,Outside Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,880,000","1,119.46","1,679",Jun-25,JOO CHIAT ROAD,Resale,Strata,104,"18,077",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SIMS URBAN OASIS,"2,038,000","1,022.58","1,993",Jun-25,SIMS DRIVE,Resale,Strata,95,"21,453",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,16 to 20
SUNGLADE,"1,950,000","1,140.98","1,709",Jun-25,SERANGOON AVENUE 2,Resale,Strata,106,"18,396",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,11 to 15
EURO-ASIA COURT,"3,400,000","1,668.42","2,038",Jun-25,RIVER VALLEY CLOSE,Resale,Strata,155,"21,935",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
THE JOVELL,"705,000",452.09,"1,559",Jun-25,FLORA DRIVE,Resale,Strata,42,"16,786",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
PARC MONDRIAN,"2,230,000","1,205.57","1,850",Jun-25,WOODLEIGH CLOSE,Resale,Strata,112,"19,911",-,Apartment,1,Freehold,13,Rest of Central Region,01 to 05
CITY SQUARE RESIDENCES,"1,820,000",861.12,"2,114",Jun-25,KITCHENER LINK,Resale,Strata,80,"22,750",-,Condominium,1,Freehold,08,Rest of Central Region,16 to 20
THE CLEMENT CANOPY,"2,070,000",990.29,"2,090",Jun-25,CLEMENTI AVENUE 1,Resale,Strata,92,"22,500",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,26 to 30
EMERALD GARDEN,"3,516,888","1,528.49","2,301",Jun-25,CLUB STREET,Resale,Strata,142,"24,767",-,Condominium,1,999 yrs lease commencing from 1827,01,Rest of Central Region,11 to 15
SKY@ELEVEN,"6,000,000","2,712.53","2,212",Jun-25,THOMSON LANE,Resale,Strata,252,"23,810",-,Condominium,1,Freehold,11,Core Central Region,06 to 10
V ON SHENTON,"1,730,000",882.65,"1,960",Jun-25,SHENTON WAY,Resale,Strata,82,"21,098",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,36 to 40
COMMONWEALTH TOWERS,"1,738,000",753.48,"2,307",Jun-25,COMMONWEALTH AVENUE,Resale,Strata,70,"24,829",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,36 to 40
ECHELON,"1,560,000",731.95,"2,131",Jun-25,ALEXANDRA VIEW,Resale,Strata,68,"22,941",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,16 to 20
PARC CLEMATIS,"1,980,000",990.29,"1,999",Jun-25,JALAN LEMPENG,Resale,Strata,92,"21,522",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
OCEAN PARK,"4,200,000","2,109.74","1,991",Jun-25,EAST COAST ROAD,Resale,Strata,196,"21,429",-,Condominium,1,Freehold,15,Outside Central Region,11 to 15
NINE RESIDENCES,"1,000,000",710.42,"1,408",Jun-25,YISHUN AVENUE 9,Resale,Strata,66,"15,152",-,Apartment,1,99 yrs lease commencing from 2013,27,Outside Central Region,11 to 15
THE CREEK @ BUKIT,"2,480,000","1,657.66","1,496",Jun-25,TOH TUCK ROAD,Resale,Strata,154,"16,104",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
THOMSON GRAND,"2,610,000","1,367.03","1,909",Jun-25,SIN MING WALK,Resale,Strata,127,"20,551",-,Condominium,1,99 yrs lease commencing from 2010,20,Rest of Central Region,16 to 20
