Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
MANDARIN GARDENS,"2,530,000","2,034.4","1,244",Oct-23,SIGLAP ROAD,Resale,Strata,189,"13,386",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,16 to 20
D'PAVILION,"1,428,000",947.23,"1,508",Oct-23,UPPER SERANGOON ROAD,Resale,Strata,88,"16,227",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE TRUMPS,"1,060,000",678.13,"1,563",Oct-23,JALAN KEMBANGAN,Resale,Strata,63,"16,825",-,Condominium,1,99 yrs lease commencing from 2000,14,Outside Central Region,01 to 05
JOO CHIAT APARTMENT,"2,500,000","2,055.92","1,216",Oct-23,ONAN ROAD,Resale,Strata,191,"13,089",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MARGARET VILLE,"1,998,000",968.76,"2,062",Oct-23,MARGARET DRIVE,Resale,Strata,90,"22,200",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
SOPHIA HILLS,"1,150,000",570.49,"2,016",Oct-23,MOUNT SOPHIA,Resale,Strata,53,"21,698",-,Condominium,1,99 yrs lease commencing from 2013,09,Core Central Region,01 to 05
EUHABITAT,"750,000",527.44,"1,422",Oct-23,JALAN EUNOS,Resale,Strata,49,"15,306",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
THE PARC CONDOMINIUM,"2,220,000","1,302.44","1,704",Oct-23,WEST COAST WALK,Resale,Strata,121,"18,347",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
NOVENA REGENCY,"960,000",462.85,"2,074",Oct-23,THOMSON ROAD,Resale,Strata,43,"22,326",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
THE LUCENT,"2,100,000","1,323.97","1,586",Oct-23,LORONG N TELOK KURAU,Resale,Strata,123,"17,073",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE GREENWICH,"1,628,000","1,227.1","1,327",Oct-23,SELETAR ROAD,Resale,Strata,114,"14,281",-,Condominium,1,99 yrs lease commencing from 2009,28,Outside Central Region,01 to 05
EASTWIND MANSIONS,"1,900,000","1,302.44","1,459",Oct-23,JOO CHIAT TERRACE,Resale,Strata,121,"15,702",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LINCOLN SUITES,"1,100,000",462.85,"2,377",Oct-23,KHIANG GUAN AVENUE,Resale,Strata,43,"25,581",-,Condominium,1,Freehold,11,Core Central Region,06 to 10
CHANGI RISE CONDOMINIUM,"1,385,000","1,259.39","1,100",Oct-23,SIMEI RISE,Resale,Strata,117,"11,838",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05
KENTISH GREEN,"1,400,000","1,097.93","1,275",Oct-23,OXFORD ROAD,Resale,Strata,102,"13,725",-,Apartment,1,99 yrs lease commencing from 1995,08,Rest of Central Region,01 to 05
NIN RESIDENCE,"2,000,000","1,280.92","1,561",Oct-23,PHENG GECK AVENUE,Resale,Strata,119,"16,807",-,Apartment,1,99 yrs lease commencing from 2010,13,Rest of Central Region,11 to 15
TREESCAPE,"1,220,000",699.66,"1,744",Oct-23,LORONG N TELOK KURAU,Resale,Strata,65,"18,769",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE MAYFAIR,"1,280,000","1,162.51","1,101",Oct-23,JURONG EAST STREET 32,Resale,Strata,108,"11,852",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,16 to 20
INTERNATIONAL PLAZA,"1,350,000","1,033.34","1,306",Oct-23,ANSON ROAD,Resale,Strata,96,"14,063",-,Apartment,1,99 yrs lease commencing from 1970,02,Core Central Region,36 to 40
LE QUEST,"1,546,888",936.47,"1,652",Oct-23,BUKIT BATOK STREET 41,Resale,Strata,87,"17,780",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,11 to 15
STIRLING RESIDENCES,"1,800,000",764.24,"2,355",Oct-23,STIRLING ROAD,Resale,Strata,71,"25,352",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
E MAISON,"1,450,000",936.47,"1,548",Oct-23,BRADDELL ROAD,Resale,Strata,87,"16,667",-,Apartment,1,Freehold,13,Outside Central Region,01 to 05
ALEXIS,"1,110,000",635.08,"1,748",Oct-23,ALEXANDRA ROAD,Resale,Strata,59,"18,814",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
DOVER PARKVIEW,"1,750,000","1,248.62","1,402",Oct-23,DOVER RISE,Resale,Strata,116,"15,086",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
THOMSON THREE,"2,050,000","1,033.34","1,984",Oct-23,BRIGHT HILL DRIVE,Resale,Strata,96,"21,354",-,Apartment,1,99 yrs lease commencing from 2012,20,Rest of Central Region,16 to 20
BARTLEY RIDGE,"1,828,000","1,033.34","1,769",Oct-23,MOUNT VERNON ROAD,Resale,Strata,96,"19,042",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
VIDA,"2,000,000",882.65,"2,266",Oct-23,PECK HAY ROAD,Resale,Strata,82,"24,390",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
SKYLINE RESIDENCES,"1,200,000",484.38,"2,477",Oct-23,TELOK BLANGAH ROAD,Resale,Strata,45,"26,667",-,Condominium,1,Freehold,04,Rest of Central Region,21 to 25
THE CRISTALLO,"700,000",430.56,"1,626",Oct-23,LORONG K TELOK KURAU,Resale,Strata,40,"17,500",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
WING FONG BUILDING,"1,880,000","2,045.16",919,Oct-23,LORONG 8 GEYLANG,Resale,Strata,190,"9,895",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
RIVERVALE CREST,"1,158,000","1,173.28",987,Oct-23,RIVERVALE CRESCENT,Resale,Strata,109,"10,624",-,Apartment,1,99 yrs lease commencing from 1997,19,Outside Central Region,11 to 15
CAVAN SUITES,"650,000",322.92,"2,013",Oct-23,CAVAN ROAD,Resale,Strata,30,"21,667",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
VIVA,"3,800,000","1,517.72","2,504",Oct-23,SUFFOLK WALK,Resale,Strata,141,"26,950",-,Condominium,1,Freehold,11,Core Central Region,11 to 15
LA MEYER,"2,580,000","1,420.85","1,816",Oct-23,MEYER ROAD,Resale,Strata,132,"19,545",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
THE WISTERIA,"1,315,000",968.76,"1,357",Oct-23,YISHUN RING ROAD,Resale,Strata,90,"14,611",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,11 to 15
PARC ROSEWOOD,"650,000",430.56,"1,510",Oct-23,ROSEWOOD DRIVE,Resale,Strata,40,"16,250",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
CASPIAN,"2,080,000","1,399.32","1,486",Oct-23,LAKESIDE DRIVE,Resale,Strata,130,"16,000",-,Condominium,1,99 yrs lease commencing from 2008,22,Outside Central Region,06 to 10
THE NAUTICAL,"1,298,888","1,184.04","1,097",Oct-23,JALAN SENDUDOK,Resale,Strata,110,"11,808",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05
ONE LEICESTER,"1,848,000","1,054.87","1,752",Oct-23,LEICESTER ROAD,Resale,Strata,98,"18,857",-,Condominium,1,Freehold,13,Rest of Central Region,11 to 15
COCO PALMS,"2,000,000","1,377.79","1,452",Oct-23,PASIR RIS GROVE,Resale,Strata,128,"15,625",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
ISUITES @ PALM,"860,000",635.08,"1,354",Oct-23,GLASGOW ROAD,Resale,Strata,59,"14,576",-,Apartment,1,999 yrs lease commencing from 1878,19,Outside Central Region,01 to 05
THE MINTON,"1,363,000",990.29,"1,376",Oct-23,HOUGANG STREET 11,Resale,Strata,92,"14,815",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
MARGARET VILLE,"1,108,888",462.85,"2,396",Oct-23,MARGARET DRIVE,Resale,Strata,43,"25,788",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
KINGSFORD . HILLVIEW PEAK,"1,620,000","1,539.25","1,052",Oct-23,HILLVIEW RISE,Resale,Strata,143,"11,329",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,11 to 15
SANT RITZ,"1,200,000",656.6,"1,828",Oct-23,PHENG GECK AVENUE,Resale,Strata,61,"19,672",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
JADE MANSION,"4,950,000","2,669.47","1,854",Oct-23,LEEDON ROAD,Resale,Strata,248,"19,960",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
EUHABITAT,"766,150",527.44,"1,453",Oct-23,JALAN EUNOS,Resale,Strata,49,"15,636",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
SKY@ELEVEN,"5,000,000","2,271.2","2,201",Oct-23,THOMSON LANE,Resale,Strata,211,"23,697",-,Condominium,1,Freehold,11,Core Central Region,26 to 30
REGENT GROVE,"1,140,000","1,162.51",981,Oct-23,CHOA CHU KANG NORTH 7,Resale,Strata,108,"10,556",-,Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,01 to 05
PARKVIEW APARTMENTS,"930,000",925.7,"1,005",Oct-23,BUKIT BATOK STREET 25,Resale,Strata,86,"10,814",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,01 to 05
