Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
D'NEST,"853,800",753.48,"1,133",Jan-22,PASIR RIS GROVE,Resale,Strata,70,"12,197",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
D'NEST,"630,000",484.38,"1,301",Jan-22,PASIR RIS GROVE,Resale,Strata,45,"14,000",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
AALTO,"3,500,000","1,528.49","2,290",Jan-22,MEYER ROAD,Resale,Strata,142,"24,648",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
HIGH PARK RESIDENCES,"610,000",441.32,"1,382",Jan-22,FERNVALE ROAD,Resale,Strata,41,"14,878",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,01 to 05
KERRISDALE,"1,606,840","1,270.15","1,265",Jan-22,STURDEE ROAD,Resale,Strata,118,"13,617",-,Condominium,1,99 yrs lease commencing from 1998,08,Rest of Central Region,21 to 25
THE GRANDHILL,"1,750,000","1,259.39","1,390",Jan-22,PASIR PANJANG HILL,Resale,Strata,117,"14,957",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
TURQUOISE,"4,169,770","2,432.66","1,714",Jan-22,COVE DRIVE,Resale,Strata,226,"18,450",-,Condominium,1,99 yrs lease commencing from 2007,04,Core Central Region,01 to 05
A TREASURE TROVE,"1,280,000","1,044.11","1,226",Jan-22,PUNGGOL WALK,Resale,Strata,97,"13,196",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
A TREASURE TROVE,"1,450,000","1,205.57","1,203",Jan-22,PUNGGOL WALK,Resale,Strata,112,"12,946",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
SYMPHONY SUITES,"1,270,000","1,022.58","1,242",Jan-22,YISHUN CLOSE,Resale,Strata,95,"13,368",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,11 to 15
ONE LEICESTER,"1,880,000","1,248.62","1,506",Jan-22,LEICESTER ROAD,Resale,Strata,116,"16,207",-,Condominium,1,Freehold,13,Rest of Central Region,16 to 20
CHANGI RISE CONDOMINIUM,"1,250,000","1,280.92",976,Jan-22,SIMEI RISE,Resale,Strata,119,"10,504",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05
TANJONG RIA CONDOMINIUM,"860,000",678.13,"1,268",Jan-22,TANJONG RHU ROAD,Resale,Strata,63,"13,651",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05
RIVERBANK @ FERNVALE,"1,180,000","1,011.82","1,166",Jan-22,FERNVALE CLOSE,Resale,Strata,94,"12,553",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15
WATER PLACE,"2,270,000","1,560.78","1,454",Jan-22,TANJONG RHU ROAD,Resale,Strata,145,"15,655",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,06 to 10
MINT RESIDENCES @ JANSEN,"1,178,000","1,270.15",927,Jan-22,JANSEN ROAD,Resale,Strata,118,"9,983",-,Apartment,1,999 yrs lease commencing from 1878,19,Outside Central Region,01 to 05
HIGHLAND CENTRE,"1,688,000","1,765.3",956,Jan-22,YIO CHU KANG ROAD,Resale,Strata,164,"10,293",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
NEEM TREE,"1,210,000",710.42,"1,703",Jan-22,JALAN KEMAMAN,Resale,Strata,66,"18,333",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
THE GLADES,"1,150,000",839.59,"1,370",Jan-22,BEDOK RISE,Resale,Strata,78,"14,744",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,06 to 10
PARC PALAIS,"1,500,000",968.76,"1,548",Jan-22,HUME AVENUE,Resale,Strata,90,"16,667",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
WATERTOWN,"790,000",527.44,"1,498",Jan-22,PUNGGOL CENTRAL,Resale,Strata,49,"16,122",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
TANAMERA CREST,"1,045,000","1,184.04",883,Jan-22,PARI DEDAP WALK,Resale,Strata,110,"9,500",-,Condominium,1,99 yrs lease commencing from 2000,16,Outside Central Region,01 to 05
SIMS GREEN,"1,190,000","1,237.86",961,Jan-22,LORONG 27A GEYLANG,Resale,Strata,115,"10,348",-,Apartment,1,99 yrs lease commencing from 2001,14,Rest of Central Region,01 to 05
CASA CAMBIO,"678,000",419.8,"1,615",Jan-22,LIM TUA TOW ROAD,Resale,Strata,39,"17,385",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
GARDENVISTA,"1,220,000",871.88,"1,399",Jan-22,DUNEARN ROAD,Resale,Strata,81,"15,062",-,Condominium,1,99 yrs lease commencing from 1999,21,Rest of Central Region,01 to 05
SIMS URBAN OASIS,"1,560,000",958,"1,628",Jan-22,SIMS DRIVE,Resale,Strata,89,"17,528",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
HIGH OAK CONDOMINIUM,"1,610,000","1,388.56","1,159",Jan-22,TOH TUCK ROAD,Resale,Strata,129,"12,481",-,Condominium,1,99 yrs lease commencing from 1996,21,Rest of Central Region,01 to 05
HILLVIEW REGENCY,"1,130,000","1,130.22","1,000",Jan-22,BUKIT BATOK EAST AVENUE 2,Resale,Strata,105,"10,762",-,Condominium,1,99 yrs lease commencing from 2000,23,Outside Central Region,11 to 15
SOMMERVILLE PARK,"2,500,000","1,302.44","1,919",Jan-22,FARRER DRIVE,Resale,Strata,121,"20,661",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
D'LEEDON,"1,500,000","1,033.34","1,452",Jan-22,LEEDON HEIGHTS,Resale,Strata,96,"15,625",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,06 to 10
VIZ AT HOLLAND,"2,100,000","1,259.39","1,667",Jan-22,QUEENSWAY,Resale,Strata,117,"17,949",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
WATERFRONT KEY,"2,150,000","1,517.72","1,417",Jan-22,BEDOK RESERVOIR ROAD,Resale,Strata,141,"15,248",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,11 to 15
THE IMPERIAL,"4,200,000","1,915.99","2,192",Jan-22,JALAN RUMBIA,Resale,Strata,178,"23,596",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
TIVOLI GRANDE,"1,150,000",796.54,"1,444",Jan-22,KOON SENG ROAD,Resale,Strata,74,"15,541",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SIN MING PLAZA,"1,738,000","1,474.67","1,179",Jan-22,SIN MING ROAD,Resale,Strata,137,"12,686",-,Apartment,1,Freehold,20,Rest of Central Region,01 to 05
BLUE HORIZON,"1,470,000","1,216.33","1,209",Jan-22,WEST COAST CRESCENT,Resale,Strata,113,"13,009",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,21 to 25
SMART SUITES,"1,050,000",936.47,"1,121",Jan-22,SIMS AVENUE,Resale,Strata,87,"12,069",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
KING'S COURT,"2,350,000","2,314.26","1,015",Jan-22,NORFOLK ROAD,Resale,Strata,215,"10,930",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
MARINE VIEW MANSIONS,"3,450,000","2,174.33","1,587",Jan-22,MARINE PARADE,Resale,Strata,202,"17,079",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
VANADIUM,"1,688,888","1,280.92","1,319",Jan-22,HERTFORD ROAD,Resale,Strata,119,"14,192",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
A TREASURE TROVE,"928,000",775.01,"1,197",Jan-22,PUNGGOL WALK,Resale,Strata,72,"12,889",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
GRANDE VISTA,"1,500,000","1,237.86","1,212",Jan-22,CACTUS DRIVE,Resale,Strata,115,"13,043",-,Condominium,1,999 yrs lease commencing from 1886,28,Outside Central Region,06 to 10
JARDIN,"2,100,000","1,162.51","1,806",Jan-22,DUNEARN ROAD,Resale,Strata,108,"19,444",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
STARS OF KOVAN,"1,688,000",947.23,"1,782",Jan-22,UPPER SERANGOON ROAD,Resale,Strata,88,"19,182",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
SYMPHONY SUITES,"830,000",688.9,"1,205",Jan-22,YISHUN CLOSE,Resale,Strata,64,"12,969",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,11 to 15
CRYSTAL RHU,"2,140,000","1,259.39","1,699",Jan-22,TANJONG RHU ROAD,Resale,Strata,117,"18,291",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
WESTCOVE CONDOMINIUM,"1,400,000","1,248.62","1,121",Jan-22,WEST COAST CRESCENT,Resale,Strata,116,"12,069",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
IMPERIAL HEIGHTS,"680,000",452.09,"1,504",Jan-22,IPOH LANE,Resale,Strata,42,"16,190",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
THE CLEMENT CANOPY,"1,170,000",656.6,"1,782",Jan-22,CLEMENTI AVENUE 1,Resale,Strata,61,"19,180",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,11 to 15
SANCTUARY GREEN,"1,550,000","1,140.98","1,358",Jan-22,TANJONG RHU ROAD,Resale,Strata,106,"14,623",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
PARK INFINIA AT WEE NAM,"3,155,000","1,442.38","2,187",Jan-22,LINCOLN ROAD,Resale,Strata,134,"23,545",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
ALEX RESIDENCES,"2,100,000","1,022.58","2,054",Jan-22,ALEXANDRA VIEW,Resale,Strata,95,"22,105",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,31 to 35
