Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BEDOK COURT,"2,260,000","2,271.2",995,Aug-24,BEDOK SOUTH AVENUE 3,Resale,Strata,211,"10,711",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,01 to 05
FAIRMOUNT CONDOMINIUM,"1,460,000","1,227.1","1,190",Aug-24,EASTWOOD ROAD,Resale,Strata,114,"12,807",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
THE TROPIC GARDENS,"1,888,888","1,248.62","1,513",Aug-24,UPPER EAST COAST ROAD,Resale,Strata,116,"16,284",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
PRESTIGE POINT,"1,180,000",742.72,"1,589",Aug-24,UPPER PAYA LEBAR ROAD,Resale,Strata,69,"17,101",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SUNGLADE,"1,650,000","1,044.11","1,580",Aug-24,SERANGOON AVENUE 2,Resale,Strata,97,"17,010",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,06 to 10
THE CALROSE,"2,090,000","1,872.94","1,116",Aug-24,YIO CHU KANG ROAD,Resale,Strata,174,"12,011",-,Condominium,1,Freehold,26,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"1,272,000",882.65,"1,441",Aug-24,UPPER SERANGOON VIEW,Resale,Strata,82,"15,512",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
NORTHWOOD,"1,608,000","1,313.21","1,224",Aug-24,JALAN MATA AYER,Resale,Strata,122,"13,180",-,Condominium,1,Freehold,27,Outside Central Region,01 to 05
SKY HABITAT,"1,827,000","1,022.58","1,787",Aug-24,BISHAN STREET 15,Resale,Strata,95,"19,232",-,Condominium,1,99 yrs lease commencing from 2011,20,Rest of Central Region,06 to 10
PARK COLONIAL,"2,288,000",979.52,"2,336",Aug-24,WOODLEIGH LANE,Resale,Strata,91,"25,143",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,06 to 10
NYON,"2,868,000","1,216.33","2,358",Aug-24,AMBER ROAD,Resale,Strata,113,"25,381",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
RIVERSAILS,"1,190,000",882.65,"1,348",Aug-24,UPPER SERANGOON CRESCENT,Resale,Strata,82,"14,512",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
EASTPOINT GREEN,"1,290,000","1,140.98","1,131",Aug-24,SIMEI STREET 3,Resale,Strata,106,"12,170",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
D'WEAVE,"900,000",559.73,"1,608",Aug-24,LORONG 39 GEYLANG,Resale,Strata,52,"17,308",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
THE SUNNY SPRING,"1,430,000","1,270.15","1,126",Aug-24,LORONG 40 GEYLANG,Resale,Strata,118,"12,119",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
REGENT HEIGHTS,"1,040,000","1,022.58","1,017",Aug-24,BUKIT BATOK EAST AVENUE 5,Resale,Strata,95,"10,947",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"1,235,000",882.65,"1,399",Aug-24,UPPER SERANGOON VIEW,Resale,Strata,82,"15,061",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
BRADDELL VIEW,"1,818,000","1,700.71","1,069",Aug-24,BRADDELL HILL,Resale,Strata,158,"11,506",-,Apartment,1,103 yrs lease commencing from 1977,20,Rest of Central Region,01 to 05
SILVERSEA,"3,950,000","1,668.42","2,368",Aug-24,MARINE PARADE ROAD,Resale,Strata,155,"25,484",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,11 to 15
LAKE GRANDE,"1,430,000",818.06,"1,748",Aug-24,JURONG LAKE LINK,Resale,Strata,76,"18,816",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,11 to 15
REFLECTIONS AT KEPPEL BAY,"2,460,000","1,550.02","1,587",Aug-24,KEPPEL BAY VIEW,Resale,Strata,144,"17,083",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,06 to 10
THE TAPESTRY,"805,000",441.32,"1,824",Aug-24,TAMPINES STREET 86,Resale,Strata,41,"19,634",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15
THE INFLORA,"1,300,000","1,033.34","1,258",Aug-24,FLORA DRIVE,Resale,Strata,96,"13,542",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
THE GARDEN RESIDENCES,"1,265,000",688.9,"1,836",Aug-24,SERANGOON NORTH VIEW,Resale,Strata,64,"19,766",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
SHERWOOD TOWER,"1,468,000","1,420.85","1,033",Aug-24,JALAN ANAK BUKIT,Resale,Strata,132,"11,121",-,Apartment,1,99 yrs lease commencing from 1976,21,Rest of Central Region,26 to 30
THE ESTUARY,"1,282,000",904.18,"1,418",Aug-24,YISHUN AVENUE 1,Resale,Strata,84,"15,262",-,Condominium,1,99 yrs lease commencing from 2008,27,Outside Central Region,06 to 10
THE CLEMENT CANOPY,"1,835,000",990.29,"1,853",Aug-24,CLEMENTI AVENUE 1,Resale,Strata,92,"19,946",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,11 to 15
