Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
WATERWOODS,"1,065,000","1,044.11","1,020",May-21,PUNGGOL FIELD WALK,Resale,Strata,97,"10,979",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,16 to 20
WATERBAY,"1,058,000","1,097.93",964,May-21,EDGEFIELD PLAINS,Resale,Strata,102,"10,373",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
AUSTVILLE RESIDENCES,"1,020,000","1,140.98",894,May-21,SENGKANG EAST AVENUE,Resale,Strata,106,"9,623",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
1 CANBERRA,"858,888",947.23,907,May-21,CANBERRA DRIVE,Resale,Strata,88,"9,760",-,Executive Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
WATERBAY,"1,200,000","1,140.98","1,052",May-21,EDGEFIELD PLAINS,Resale,Strata,106,"11,321",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
THE TAMPINES TRILLIANT,"1,250,000","1,130.22","1,106",May-21,TAMPINES CENTRAL 7,Resale,Strata,105,"11,905",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
BLOSSOM RESIDENCES,"788,000",753.48,"1,046",May-21,SEGAR ROAD,Resale,Strata,70,"11,257",-,Executive Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,06 to 10
WATERBAY,"1,036,000","1,097.93",944,May-21,EDGEFIELD PLAINS,Resale,Strata,102,"10,157",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
WATERCOLOURS,"723,000",785.77,920,May-21,PASIR RIS LINK,Resale,Strata,73,"9,904",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
PRIVE,"1,100,000","1,097.93","1,002",May-21,PUNGGOL FIELD,Resale,Strata,102,"10,784",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
PRIVE,"873,000",882.65,989,May-21,PUNGGOL FIELD,Resale,Strata,82,"10,646",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
FORESTVILLE,"795,000",850.36,935,May-21,WOODLANDS DRIVE 16,Resale,Strata,79,"10,063",-,Executive Condominium,1,99 yrs lease commencing from 2012,25,Outside Central Region,06 to 10
WATERWOODS,"1,020,000","1,044.11",977,May-21,PUNGGOL FIELD WALK,Resale,Strata,97,"10,515",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,01 to 05
ESPARINA RESIDENCES,"938,000",828.83,"1,132",May-21,COMPASSVALE BOW,Resale,Strata,77,"12,182",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
ESPARINA RESIDENCES,"1,298,000","1,065.64","1,218",May-21,COMPASSVALE BOW,Resale,Strata,99,"13,111",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
NORTHOAKS,"775,000","1,173.28",661,May-21,WOODLANDS CRESCENT,Resale,Strata,109,"7,110",-,Executive Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05
THE QUINTET,"985,000","1,270.15",775,May-21,CHOA CHU KANG STREET 64,Resale,Strata,118,"8,347",-,Executive Condominium,1,99 yrs lease commencing from 2003,23,Outside Central Region,06 to 10
THE TOPIARY,"1,498,800","1,388.56","1,079",May-21,FERNVALE LANE,Resale,Strata,129,"11,619",-,Executive Condominium,1,99 yrs lease commencing from 2012,28,Outside Central Region,01 to 05
THE TOPIARY,"760,000",753.48,"1,009",May-21,FERNVALE LANE,Resale,Strata,70,"10,857",-,Executive Condominium,1,99 yrs lease commencing from 2012,28,Outside Central Region,01 to 05
PARK GREEN,"920,000","1,162.51",791,May-21,RIVERVALE LINK,Resale,Strata,108,"8,519",-,Executive Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,11 to 15
TWIN WATERFALLS,"938,000",914.94,"1,025",May-21,PUNGGOL WALK,Resale,Strata,85,"11,035",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
1 CANBERRA,"920,000",958,960,May-21,CANBERRA DRIVE,Resale,Strata,89,"10,337",-,Executive Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,06 to 10
WATERWOODS,"1,038,000","1,044.11",994,May-21,PUNGGOL FIELD WALK,Resale,Strata,97,"10,701",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
LILYDALE,"850,888","1,194.8",712,May-21,YISHUN AVENUE 6,Resale,Strata,111,"7,666",-,Executive Condominium,1,99 yrs lease commencing from 2000,27,Outside Central Region,01 to 05
NORTHOAKS,"802,888","1,248.62",643,May-21,WOODLANDS CRESCENT,Resale,Strata,116,"6,921",-,Executive Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,06 to 10
WATERBAY,"1,388,000","1,345.5","1,032",May-21,EDGEFIELD PLAINS,Resale,Strata,125,"11,104",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
THE ESPARIS,"1,160,000","1,463.9",792,May-21,PASIR RIS DRIVE 4,Resale,Strata,136,"8,529",-,Executive Condominium,1,99 yrs lease commencing from 2002,18,Outside Central Region,01 to 05
YEW MEI GREEN,"957,000","1,334.74",717,May-21,CHOA CHU KANG NORTH 6,Resale,Strata,124,"7,718",-,Executive Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,06 to 10
FORESTVILLE,"870,000","1,033.34",842,May-21,WOODLANDS DRIVE 16,Resale,Strata,96,"9,063",-,Executive Condominium,1,99 yrs lease commencing from 2012,25,Outside Central Region,01 to 05
THE TOPIARY,"1,060,000","1,087.16",975,May-21,FERNVALE LANE,Resale,Strata,101,"10,495",-,Executive Condominium,1,99 yrs lease commencing from 2012,28,Outside Central Region,01 to 05
FORESTVILLE,"935,000","1,087.16",860,May-21,WOODLANDS DRIVE 16,Resale,Strata,101,"9,257",-,Executive Condominium,1,99 yrs lease commencing from 2012,25,Outside Central Region,06 to 10
PRIVE,"1,210,000","1,130.22","1,071",May-21,PUNGGOL FIELD,Resale,Strata,105,"11,524",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
THE RIVERVALE,"870,000","1,280.92",679,May-21,RIVERVALE LINK,Resale,Strata,119,"7,311",-,Executive Condominium,1,99 yrs lease commencing from 1997,19,Outside Central Region,01 to 05
TWIN WATERFALLS,"1,180,000","1,442.38",818,May-21,PUNGGOL WALK,Resale,Strata,134,"8,806",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE FLORIDA,"1,030,000","1,388.56",742,May-21,HOUGANG AVENUE 7,Resale,Strata,129,"7,984",-,Executive Condominium,1,99 yrs lease commencing from 1997,19,Outside Central Region,06 to 10
TWIN WATERFALLS,"1,045,000","1,087.16",961,May-21,PUNGGOL WALK,Resale,Strata,101,"10,347",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE QUINTET,"970,000","1,259.39",770,Apr-21,CHOA CHU KANG STREET 64,Resale,Strata,117,"8,291",-,Executive Condominium,1,99 yrs lease commencing from 2003,23,Outside Central Region,16 to 20
HERON BAY,"1,370,000","1,388.56",987,Apr-21,UPPER SERANGOON VIEW,Resale,Strata,129,"10,620",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
YEW MEI GREEN,"1,320,000","1,593.07",829,Apr-21,CHOA CHU KANG NORTH 6,Resale,Strata,148,"8,919",-,Executive Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,16 to 20
WATERWOODS,"1,265,000","1,280.92",988,Apr-21,PUNGGOL FIELD WALK,Resale,Strata,119,"10,630",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
HERON BAY,"1,200,000","1,280.92",937,Apr-21,UPPER SERANGOON VIEW,Resale,Strata,119,"10,084",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
HERON BAY,"1,390,000","1,388.56","1,001",Apr-21,UPPER SERANGOON VIEW,Resale,Strata,129,"10,775",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
WHITEWATER,"850,000","1,151.75",738,Apr-21,PASIR RIS STREET 72,Resale,Strata,107,"7,944",-,Executive Condominium,1,99 yrs lease commencing from 2002,18,Outside Central Region,01 to 05
