Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BELYSA,"1,600,000","1,334.74","1,199",Oct-22,PASIR RIS DRIVE 1,Resale,Strata,124,"12,903",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,16 to 20
SIMEI GREEN CONDOMINIUM,"1,068,000","1,194.8",894,Oct-22,SIMEI STREET 4,Resale,Strata,111,"9,622",-,Executive Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
BELLEWOODS,"1,350,000","1,151.75","1,172",Oct-22,WOODLANDS AVENUE 5,Resale,Strata,107,"12,617",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,06 to 10
SEA HORIZON,"1,370,000","1,151.75","1,189",Oct-22,PASIR RIS RISE,Resale,Strata,107,"12,804",-,Executive Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,06 to 10
BELLEWATERS,"1,450,000","1,130.22","1,283",Oct-22,ANCHORVALE CRESCENT,Resale,Strata,105,"13,810",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
FORESTVILLE,"1,380,000","1,248.62","1,105",Oct-22,WOODLANDS DRIVE 16,Resale,Strata,116,"11,897",-,Executive Condominium,1,99 yrs lease commencing from 2012,25,Outside Central Region,06 to 10
THE TERRACE,"1,710,000","1,313.21","1,302",Oct-22,EDGEDALE PLAINS,Resale,Strata,122,"14,016",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
SIMEI GREEN CONDOMINIUM,"988,000",968.76,"1,020",Oct-22,SIMEI STREET 4,Resale,Strata,90,"10,978",-,Executive Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
WATERCOLOURS,"1,090,000","1,001.05","1,089",Oct-22,PASIR RIS LINK,Resale,Strata,93,"11,720",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
LA CASA,"925,000",979.52,944,Oct-22,WOODLANDS DRIVE 16,Resale,Strata,91,"10,165",-,Executive Condominium,1,99 yrs lease commencing from 2004,25,Outside Central Region,11 to 15
THE TAMPINES TRILLIANT,"1,400,000","1,001.05","1,399",Oct-22,TAMPINES CENTRAL 7,Resale,Strata,93,"15,054",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15
BELLEWATERS,"1,250,000",990.29,"1,262",Oct-22,ANCHORVALE CRESCENT,Resale,Strata,92,"13,587",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
WINDERMERE,"1,410,000","1,453.14",970,Oct-22,CHOA CHU KANG STREET 64,Resale,Strata,135,"10,444",-,Executive Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,21 to 25
FORESTVILLE,"1,165,000","1,076.4","1,082",Oct-22,WOODLANDS DRIVE 16,Resale,Strata,100,"11,650",-,Executive Condominium,1,99 yrs lease commencing from 2012,25,Outside Central Region,01 to 05
THE VALES,"1,300,000","1,033.34","1,258",Oct-22,ANCHORVALE CRESCENT,Resale,Strata,96,"13,542",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
