Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
HUNDRED TREES,"2,280,000","1,474.67","1,546",May-21,WEST COAST DRIVE,Resale,Strata,137,"16,642",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
CITYLIGHTS,"1,200,000",721.19,"1,664",May-21,JELLICOE ROAD,Resale,Strata,67,"17,910",-,Condominium,1,99 yrs lease commencing from 2004,08,Rest of Central Region,31 to 35
TRE RESIDENCES,"685,000",419.8,"1,632",May-21,GEYLANG EAST AVENUE 1,Resale,Strata,39,"17,564",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
PARC RIVIERA,"870,000",602.78,"1,443",May-21,WEST COAST VALE,Resale,Strata,56,"15,536",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,31 to 35
THOMSON GRAND,"1,610,000","1,044.11","1,542",May-21,SIN MING WALK,Resale,Strata,97,"16,598",-,Condominium,1,99 yrs lease commencing from 2010,20,Rest of Central Region,16 to 20
IMPERIAL HEIGHTS,"620,000",452.09,"1,371",May-21,IPOH LANE,Resale,Strata,42,"14,762",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
SIMS URBAN OASIS,"760,000",462.85,"1,642",May-21,SIMS DRIVE,Resale,Strata,43,"17,674",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,06 to 10
VIZ AT HOLLAND,"938,000",495.14,"1,894",May-21,QUEENSWAY,Resale,Strata,46,"20,391",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
HILLVIEW HEIGHTS,"1,260,000",958,"1,315",May-21,HILLVIEW AVENUE,Resale,Strata,89,"14,157",-,Condominium,1,Freehold,23,Outside Central Region,06 to 10
BARTLEY RIDGE,"1,325,000",968.76,"1,368",May-21,MOUNT VERNON ROAD,Resale,Strata,90,"14,722",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
PALM ISLES,"562,000",516.67,"1,088",May-21,FLORA DRIVE,Resale,Strata,48,"11,708",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,06 to 10
SUMMERHILL,"2,400,000","1,603.84","1,496",May-21,HUME AVENUE,Resale,Strata,149,"16,107",-,Condominium,1,Freehold,21,Outside Central Region,06 to 10
TRIBECA,"1,175,000",516.67,"2,274",May-21,KIM SENG ROAD,Resale,Strata,48,"24,479",-,Condominium,1,Freehold,09,Core Central Region,16 to 20
REGENTVILLE,"1,210,000","1,743.77",694,May-21,HOUGANG STREET 92,Resale,Strata,162,"7,469",-,Apartment,1,99 yrs lease commencing from 1996,19,Outside Central Region,11 to 15
VA RESIDENCES,"720,000",505.91,"1,423",May-21,BOON TECK ROAD,Resale,Strata,47,"15,319",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
CHANGI RISE CONDOMINIUM,"1,250,000","1,657.66",754,May-21,SIMEI RISE,Resale,Strata,154,"8,117",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05
GOODLINK PARK,"1,300,000","2,077.45",626,May-21,SEMBAWANG ROAD,Resale,Strata,193,"6,736",-,Apartment,1,Freehold,27,Outside Central Region,01 to 05
PATERSON SUITES,"4,250,000","1,776.06","2,393",May-21,PATERSON ROAD,Resale,Strata,165,"25,758",-,Condominium,1,Freehold,09,Core Central Region,16 to 20
VENTANA,"1,330,000","1,130.22","1,177",May-21,PASIR PANJANG HILL,Resale,Strata,105,"12,667",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
H2O RESIDENCES,"848,000",796.54,"1,065",May-21,FERNVALE LINK,Resale,Strata,74,"11,459",-,Condominium,1,99 yrs lease commencing from 2010,28,Outside Central Region,06 to 10
PATERSON SUITES,"5,350,000","2,163.56","2,473",May-21,PATERSON ROAD,Resale,Strata,201,"26,617",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
MARTIN PLACE RESIDENCES,"1,280,000",592.02,"2,162",May-21,MARTIN PLACE,Resale,Strata,55,"23,273",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
THE TRILINQ,"868,000",538.2,"1,613",May-21,JALAN LEMPENG,Resale,Strata,50,"17,360",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,26 to 30
THE SEAWIND,"1,560,000",914.94,"1,705",May-21,LORONG M TELOK KURAU,Resale,Strata,85,"18,353",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
CARDIFF RESIDENCE,"750,000",559.73,"1,340",May-21,CARDIFF GROVE,Resale,Strata,52,"14,423",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
RIS GRANDEUR,"1,600,000","1,539.25","1,039",May-21,ELIAS ROAD,Resale,Strata,143,"11,189",-,Condominium,1,Freehold,18,Outside Central Region,16 to 20
THE MAYFAIR,"850,000","1,205.57",705,May-21,JURONG EAST STREET 32,Resale,Strata,112,"7,589",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,16 to 20
THE MINTON,"1,300,000","1,108.69","1,173",May-21,HOUGANG STREET 11,Resale,Strata,103,"12,621",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
ECO,"800,000",581.26,"1,376",May-21,BEDOK SOUTH AVENUE 3,Resale,Strata,54,"14,815",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
COMMONWEALTH TOWERS,"855,000",441.32,"1,937",May-21,COMMONWEALTH AVENUE,Resale,Strata,41,"20,854",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
HERITAGE VIEW,"1,145,000",968.76,"1,182",May-21,DOVER RISE,Resale,Strata,90,"12,722",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,01 to 05
RIVERSOUND RESIDENCE,"1,110,000","1,065.64","1,042",May-21,SENGKANG EAST AVENUE,Resale,Strata,99,"11,212",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
LAKE GRANDE,"1,480,000",925.7,"1,599",May-21,JURONG LAKE LINK,Resale,Strata,86,"17,209",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,11 to 15
ROBERTSON EDGE,"818,000",430.56,"1,900",May-21,TONG WATT ROAD,Resale,Strata,40,"20,450",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,01 to 05
SKIES MILTONIA,"798,000",742.72,"1,074",May-21,MILTONIA CLOSE,Resale,Strata,69,"11,565",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,06 to 10
BOATHOUSE RESIDENCES,"890,000",839.59,"1,060",May-21,UPPER SERANGOON VIEW,Resale,Strata,78,"11,410",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE ESTUARY,"1,500,000","1,528.49",981,May-21,YISHUN AVENUE 1,Resale,Strata,142,"10,563",-,Condominium,1,99 yrs lease commencing from 2008,27,Outside Central Region,01 to 05
SEAHILL,"733,000",505.91,"1,449",May-21,WEST COAST CRESCENT,Resale,Strata,47,"15,596",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,06 to 10
THE INTERLACE,"3,150,000","2,271.2","1,387",May-21,DEPOT ROAD,Resale,Strata,211,"14,929",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,11 to 15
PALM GROVE CONDOMINIUM,"1,900,000","1,700.71","1,117",May-21,PALM GROVE AVENUE,Resale,Strata,158,"12,025",-,Condominium,1,999 yrs lease commencing from 1878,19,Outside Central Region,01 to 05
TERRASSE,"1,435,000","1,227.1","1,169",May-21,TERRASSE LANE,Resale,Strata,114,"12,588",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
THE WISTERIA,"850,000",710.42,"1,196",May-21,YISHUN RING ROAD,Resale,Strata,66,"12,879",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,11 to 15
PARC OLYMPIA,"1,319,000","1,453.14",908,May-21,FLORA DRIVE,Resale,Strata,135,"9,770",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
LAKEVILLE,"1,450,000",990.29,"1,464",May-21,JURONG LAKE LINK,Resale,Strata,92,"15,761",-,Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,16 to 20
REFLECTIONS AT KEPPEL BAY,"2,100,000","1,033.34","2,032",May-21,KEPPEL BAY VIEW,Resale,Strata,96,"21,875",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,11 to 15
SEAHILL,"1,360,000","1,087.16","1,251",May-21,WEST COAST CRESCENT,Resale,Strata,101,"13,465",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,06 to 10
BALMORAL 8,"3,530,000","1,905.23","1,853",May-21,BALMORAL ROAD,Resale,Strata,177,"19,944",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE VISION,"1,658,000","1,313.21","1,263",May-21,WEST COAST CRESCENT,Resale,Strata,122,"13,590",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,06 to 10
THE NAUTICAL,"790,000",764.24,"1,034",May-21,JALAN SENDUDOK,Resale,Strata,71,"11,127",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05
D'LEEDON,"1,268,000",775.01,"1,636",May-21,LEEDON HEIGHTS,Resale,Strata,72,"17,611",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,11 to 15
CHELSEA GROVE,"1,200,000",990.29,"1,212",May-21,MARTABAN ROAD,Resale,Strata,92,"13,043",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
WATERFRONT ISLE,"775,000",592.02,"1,309",May-21,BEDOK RESERVOIR ROAD,Resale,Strata,55,"14,091",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,11 to 15
THE ARTE,"2,200,000","1,625.36","1,354",May-21,JALAN RAJA UDANG,Resale,Strata,151,"14,570",-,Condominium,1,Freehold,12,Rest of Central Region,16 to 20
ST REGIS RESIDENCES SINGAPORE,"4,900,000","2,142.04","2,288",May-21,TANGLIN ROAD,Resale,Strata,199,"24,623",-,Apartment,1,999 yrs lease commencing from 1995,10,Core Central Region,11 to 15
ICON,"1,540,000",914.94,"1,683",May-21,GOPENG STREET,Resale,Strata,85,"18,118",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,21 to 25
111 EMERALD HILL,"4,350,000","1,969.81","2,208",May-21,EMERALD HILL ROAD,Resale,Strata,183,"23,770",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
D'ZIRE,"600,000",462.85,"1,296",May-21,ROBEY CRESCENT,Resale,Strata,43,"13,953",-,Apartment,1,999 yrs lease commencing from 1875,19,Outside Central Region,01 to 05
LANGSTON VILLE,"1,628,000",936.47,"1,738",May-21,KIM YAM ROAD,Resale,Strata,87,"18,713",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
HELIOS RESIDENCES,"4,500,000","2,002.1","2,248",May-21,CAIRNHILL CIRCLE,Resale,Strata,186,"24,194",-,Apartment,1,Freehold,09,Core Central Region,16 to 20
D'LEEDON,"3,830,000","2,217.38","1,727",May-21,LEEDON HEIGHTS,Resale,Strata,206,"18,592",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,16 to 20
