Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
INTERNATIONAL PLAZA,"1,960,000","1,603.84","1,222",Oct-22,ANSON ROAD,Resale,Strata,149,"13,154",-,Apartment,1,99 yrs lease commencing from 1970,02,Core Central Region,46 to 50
SEAHILL,"1,220,000",785.77,"1,553",Oct-22,WEST COAST CRESCENT,Resale,Strata,73,"16,712",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,06 to 10
TOWNHOUSE APARTMENTS,"2,670,000","2,389.61","1,117",Oct-22,CAVENAGH ROAD,Resale,Strata,222,"12,027",-,Apartment,1,99 yrs lease commencing from 1977,09,Core Central Region,06 to 10
GLENDALE PARK,"2,380,000","1,506.96","1,579",Oct-22,HILLVIEW AVENUE,Resale,Strata,140,"17,000",-,Condominium,1,Freehold,23,Outside Central Region,06 to 10
THE SANTORINI,"1,140,000",914.94,"1,246",Oct-22,TAMPINES STREET 86,Resale,Strata,85,"13,412",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,01 to 05
ROBIN REGALIA,"1,900,000",958,"1,983",Oct-22,ROBIN ROAD,Resale,Strata,89,"21,348",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
GRANDEUR PARK RESIDENCES,"2,438,000","1,453.14","1,678",Oct-22,BEDOK SOUTH AVENUE 3,Resale,Strata,135,"18,059",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,01 to 05
REGENT GROVE,"1,030,000","1,173.28",878,Oct-22,CHOA CHU KANG NORTH 7,Resale,Strata,109,"9,450",-,Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,06 to 10
NANYANG PARK,"1,400,000","1,517.72",922,Oct-22,JALAN LIMBOK,Resale,Strata,141,"9,929",-,Apartment,1,999 yrs lease commencing from 1881,19,Outside Central Region,01 to 05
THE GARDENS AT BISHAN,"1,240,000",882.65,"1,405",Oct-22,SIN MING WALK,Resale,Strata,82,"15,122",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10
CAIRNHILL CREST,"1,750,000",818.06,"2,139",Oct-22,CAIRNHILL CIRCLE,Resale,Strata,76,"23,026",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
RIPPLE BAY,"1,150,000",764.24,"1,505",Oct-22,PASIR RIS LINK,Resale,Strata,71,"16,197",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15
ONE EIGHTIES RESIDENCES,"903,000",602.78,"1,498",Oct-22,JOO CHIAT TERRACE,Resale,Strata,56,"16,125",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
BOATHOUSE RESIDENCES,"1,887,000","1,463.9","1,289",Oct-22,UPPER SERANGOON VIEW,Resale,Strata,136,"13,875",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
REFLECTIONS AT KEPPEL BAY,"12,500,000","7,524.04","1,661",Oct-22,KEPPEL BAY VIEW,Resale,Strata,699,"17,883",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,21 to 25
EIGHT RIVERSUITES,"1,143,000",699.66,"1,634",Oct-22,WHAMPOA EAST,Resale,Strata,65,"17,585",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,11 to 15
GRAND REGALIA,"1,410,000","1,205.57","1,170",Oct-22,UPPER SERANGOON ROAD,Resale,Strata,112,"12,589",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE POIZ RESIDENCES,"1,588,800",839.59,"1,892",Oct-22,MEYAPPA CHETTIAR ROAD,Resale,Strata,78,"20,369",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,01 to 05
SPRINGDALE CONDOMINIUM,"2,000,000","1,388.56","1,440",Oct-22,HINDHEDE WALK,Resale,Strata,129,"15,504",-,Condominium,1,999 yrs lease commencing from 1877,21,Outside Central Region,06 to 10
THE GREENWICH,"705,000",602.78,"1,170",Oct-22,SELETAR ROAD,Resale,Strata,56,"12,589",-,Condominium,1,99 yrs lease commencing from 2009,28,Outside Central Region,01 to 05
PARC VERA,"1,460,000","1,140.98","1,280",Oct-22,HOUGANG STREET 32,Resale,Strata,106,"13,774",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
WATER PLACE,"2,345,678","1,453.14","1,614",Oct-22,TANJONG RHU ROAD,Resale,Strata,135,"17,375",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,06 to 10
THE TRIZON,"4,230,000","2,066.69","2,047",Oct-22,RIDGEWOOD CLOSE,Resale,Strata,192,"22,031",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
CHANGI RISE CONDOMINIUM,"1,235,000","1,259.39",981,Oct-22,SIMEI RISE,Resale,Strata,117,"10,556",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,06 to 10
WATERFRONT @ FABER,"1,500,000","1,022.58","1,467",Oct-22,FABER WALK,Resale,Strata,95,"15,789",-,Apartment,1,99 yrs lease commencing from 2013,05,Outside Central Region,01 to 05
THE LUXURIE,"1,198,000",882.65,"1,357",Oct-22,COMPASSVALE ROAD,Resale,Strata,82,"14,610",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
THE LANAI,"1,400,000",958,"1,461",Oct-22,HILLVIEW AVENUE,Resale,Strata,89,"15,730",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,06 to 10
STARS OF KOVAN,"1,700,000",968.76,"1,755",Oct-22,UPPER SERANGOON ROAD,Resale,Strata,90,"18,889",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,11 to 15
THE LAKEFRONT RESIDENCES,"1,300,000",990.29,"1,313",Oct-22,LAKESIDE DRIVE,Resale,Strata,92,"14,130",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,16 to 20
CYAN,"3,880,000","1,463.9","2,650",Oct-22,KENG CHIN ROAD,Resale,Strata,136,"28,529",-,Condominium,1,Freehold,10,Core Central Region,16 to 20
KINGSFORD WATERBAY,"1,320,000",958,"1,378",Oct-22,UPPER SERANGOON VIEW,Resale,Strata,89,"14,831",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
HILLION RESIDENCES,"2,270,000","1,356.26","1,674",Oct-22,JELEBU ROAD,Resale,Strata,126,"18,016",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,21 to 25
PRIMEDGE,"780,000",527.44,"1,479",Oct-22,LORONG 34 GEYLANG,Resale,Strata,49,"15,918",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
OXLEY EDGE,"880,000",398.27,"2,210",Oct-22,RIVER VALLEY ROAD,Resale,Strata,37,"23,784",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
ONE-NORTH RESIDENCES,"2,200,000","1,431.61","1,537",Oct-22,ONE-NORTH GATEWAY,Resale,Strata,133,"16,541",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
EASTWOOD GREEN,"1,118,000","1,011.82","1,105",Oct-22,EASTWOOD ROAD,Resale,Strata,94,"11,894",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
CARDIFF RESIDENCE,"1,160,000","1,033.34","1,123",Oct-22,CARDIFF GROVE,Resale,Strata,96,"12,083",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
TRILIVE,"1,088,000",624.31,"1,743",Oct-22,TAMPINES ROAD,Resale,Strata,58,"18,759",-,Condominium,1,Freehold,19,Outside Central Region,11 to 15
COCO PALMS,"745,000",462.85,"1,610",Oct-22,PASIR RIS GROVE,Resale,Strata,43,"17,326",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
